,Transaction Month,Bank Code,Value,Bank Rank per Month,Avg Value per Rank,Avg Bank Rank
270,June,DSB,5941,2.0,5027.689075630252,2.4166666666666665
271,June,DSB,9856,2.0,5027.689075630252,2.4166666666666665
272,June,DSB,9155,2.0,5027.689075630252,2.4166666666666665
273,June,DSB,8032,2.0,5027.689075630252,2.4166666666666665
274,June,DSB,1276,2.0,5027.689075630252,2.4166666666666665
275,June,DSB,6446,2.0,5027.689075630252,2.4166666666666665
276,May,DTB,1428,3.0,4632.797752808989,1.8333333333333333
277,May,DTB,7103,3.0,4632.797752808989,1.8333333333333333
278,May,DTB,2534,3.0,4632.797752808989,1.8333333333333333
279,May,DTB,2583,3.0,4632.797752808989,1.8333333333333333
280,May,DTB,3482,3.0,4632.797752808989,1.8333333333333333
281,May,DTB,5684,3.0,4632.797752808989,1.8333333333333333
282,May,DTB,8724,3.0,4632.797752808989,1.8333333333333333
283,May,DTB,1457,3.0,4632.797752808989,1.8333333333333333
284,May,DTB,9651,3.0,4632.797752808989,1.8333333333333333
285,May,DTB,997,3.0,4632.797752808989,1.8333333333333333
286,May,DTB,320,3.0,4632.797752808989,1.8333333333333333
287,July,DTB,1273,3.0,4632.797752808989,1.8333333333333333
288,July,DTB,8191,3.0,4632.797752808989,1.8333333333333333
289,July,DTB,4994,3.0,4632.797752808989,1.8333333333333333
290,July,DTB,3763,3.0,4632.797752808989,1.8333333333333333
291,July,DTB,436,3.0,4632.797752808989,1.8333333333333333
292,July,DTB,4289,3.0,4632.797752808989,1.8333333333333333
293,July,DTB,5489,3.0,4632.797752808989,1.8333333333333333
294,July,DTB,3479,3.0,4632.797752808989,1.8333333333333333
295,July,DTB,2429,3.0,4632.797752808989,1.8333333333333333
296,July,DTB,213,3.0,4632.797752808989,1.8333333333333333
297,July,DTB,1686,3.0,4632.797752808989,1.8333333333333333
298,April,DTB,5804,3.0,4632.797752808989,1.8333333333333333
299,April,DTB,310,3.0,4632.797752808989,1.8333333333333333
300,April,DTB,858,3.0,4632.797752808989,1.8333333333333333
301,April,DTB,9278,3.0,4632.797752808989,1.8333333333333333
302,April,DTB,3955,3.0,4632.797752808989,1.8333333333333333
303,April,DTB,3896,3.0,4632.797752808989,1.8333333333333333
304,April,DTB,8529,3.0,4632.797752808989,1.8333333333333333
305,April,DTB,8942,3.0,4632.797752808989,1.8333333333333333
306,June,DTB,738,3.0,4632.797752808989,1.8333333333333333
307,June,DTB,1892,3.0,4632.797752808989,1.8333333333333333
308,June,DTB,2104,3.0,4632.797752808989,1.8333333333333333
309,June,DTB,2786,3.0,4632.797752808989,1.8333333333333333
310,June,DTB,2546,3.0,4632.797752808989,1.8333333333333333
311,June,DTB,5605,3.0,4632.797752808989,1.8333333333333333
312,December,DS,1447,3.0,4632.797752808989,1.75
313,December,DS,9371,3.0,4632.797752808989,1.75
314,December,DS,4743,3.0,4632.797752808989,1.75
315,December,DS,6688,3.0,4632.797752808989,1.75
316,December,DS,1474,3.0,4632.797752808989,1.75
317,December,DS,6736,3.0,4632.797752808989,1.75
318,August,DSB,5375,3.0,4632.797752808989,2.4166666666666665
319,August,DSB,891,3.0,4632.797752808989,2.4166666666666665
320,August,DSB,6772,3.0,4632.797752808989,2.4166666666666665
321,August,DSB,5421,3.0,4632.797752808989,2.4166666666666665
322,August,DSB,3479,3.0,4632.797752808989,2.4166666666666665
323,August,DSB,6114,3.0,4632.797752808989,2.4166666666666665
324,November,DSB,2735,3.0,4632.797752808989,2.4166666666666665
325,November,DSB,3289,3.0,4632.797752808989,2.4166666666666665
326,November,DSB,7759,3.0,4632.797752808989,2.4166666666666665
327,November,DSB,453,3.0,4632.797752808989,2.4166666666666665
328,November,DSB,2749,3.0,4632.797752808989,2.4166666666666665
329,November,DSB,383,3.0,4632.797752808989,2.4166666666666665
330,November,DSB,7282,3.0,4632.797752808989,2.4166666666666665
331,November,DSB,4107,3.0,4632.797752808989,2.4166666666666665
332,November,DSB,8316,3.0,4632.797752808989,2.4166666666666665
333,February,DSB,4482,3.0,4632.797752808989,2.4166666666666665
334,February,DSB,5835,3.0,4632.797752808989,2.4166666666666665
335,February,DSB,2436,3.0,4632.797752808989,2.4166666666666665
336,February,DSB,6907,3.0,4632.797752808989,2.4166666666666665
337,February,DSB,268,3.0,4632.797752808989,2.4166666666666665
338,February,DSB,1793,3.0,4632.797752808989,2.4166666666666665
339,October,DSB,7295,3.0,4632.797752808989,2.4166666666666665
340,October,DSB,8013,3.0,4632.797752808989,2.4166666666666665
341,October,DSB,9695,3.0,4632.797752808989,2.4166666666666665
342,October,DSB,9280,3.0,4632.797752808989,2.4166666666666665
343,January,DSB,6107,3.0,4632.797752808989,2.4166666666666665
344,January,DSB,7570,3.0,4632.797752808989,2.4166666666666665
345,January,DSB,9038,3.0,4632.797752808989,2.4166666666666665
346,January,DSB,8010,3.0,4632.797752808989,2.4166666666666665
347,January,DSB,1172,3.0,4632.797752808989,2.4166666666666665
348,January,DSB,3771,3.0,4632.797752808989,2.4166666666666665
349,January,DSB,1143,3.0,4632.797752808989,2.4166666666666665
350,January,DSB,6323,3.0,4632.797752808989,2.4166666666666665
351,March,DSB,1747,3.0,4632.797752808989,2.4166666666666665
352,March,DSB,4310,3.0,4632.797752808989,2.4166666666666665
353,March,DSB,7580,3.0,4632.797752808989,2.4166666666666665
354,March,DSB,9402,3.0,4632.797752808989,2.4166666666666665
355,March,DSB,7072,3.0,4632.797752808989,2.4166666666666665
356,March,DSB,8019,3.0,4632.797752808989,2.4166666666666665
357,September,DSB,9556,3.0,4632.797752808989,2.4166666666666665
358,September,DSB,9324,3.0,4632.797752808989,2.4166666666666665
359,September,DSB,5275,3.0,4632.797752808989,2.4166666666666665
360,September,DSB,1085,3.0,4632.797752808989,2.4166666666666665
361,September,DSB,3056,3.0,4632.797752808989,2.4166666666666665
362,September,DSB,5814,3.0,4632.797752808989,2.4166666666666665
363,September,DSB,1849,3.0,4632.797752808989,2.4166666666666665
364,September,DSB,6060,3.0,4632.797752808989,2.4166666666666665
